,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
293098,The learning game: strategies for secondary teachers,"Gorow, Frank F.",371.3 Go736L, Educational Psychology,C.E. Merrill Pub. Co.,1972,0,https://libswu.on.worldcat.org/oclc/293098
307204,Movement and creative drama for children.,"Lowndes, Betty.",372 Lo919M, Educational Psychology,"Plays, Inc.",1971,0,https://libswu.on.worldcat.org/oclc/307204
314327,Practical approaches to individualizing instruction :contracts and other effective teaching strategies /,"Dunn, Rita,; Dunn, Kenneth J.,",371.394 Du942P, Theory & Practice of Education,"Parker Pub. Co.,",1972,0,https://libswu.on.worldcat.org/oclc/314327
314327,Practical approaches to individualizing instruction :contracts and other effective teaching strategies /,"Dunn, Rita,; Dunn, Kenneth J.,",371.394 Du942P  c.2, Theory & Practice of Education,"Parker Pub. Co.,",1972,0,https://libswu.on.worldcat.org/oclc/314327
354086,"Administrators and reading,","Carlson, Thorsten Robert,; International Reading Association.",418.4 Ad238, Theory & Practice of Education,Harcourt Brace Jovanovich,1972,0,https://libswu.on.worldcat.org/oclc/354086
382431,Readings in educational psychology.,"Morse, William Charles,; Wingo, G. Max,",370.15 Mo886R, Educational Psychology,"Scott, Foresman",1962,0,https://libswu.on.worldcat.org/oclc/382431
404295,Reading for the main idea;a program for self-instruction,"Raygor, Alton Lamon,",420.7 Ra111R, Theory & Practice of Education,McGraw-Hill,1969,0,https://libswu.on.worldcat.org/oclc/404295
418336,Concept learning; designs for instruction,"Martorella, Peter H.",370.15 Ma387C, Educational Psychology,Intext Educational Publishers,1972,0,https://libswu.on.worldcat.org/oclc/418336
604993,Instructional technology :its nature and use /,"Wittich, Walter A.; Schuller, Charles F.",371.335 Wi832I, Theory & Practice of Education,"Harper & Row,",1973,0,https://libswu.on.worldcat.org/oclc/604993
604993,Instructional technology :its nature and use /,"Wittich, Walter A.; Schuller, Charles F.",371.335 Wi832I  c.5, Theory & Practice of Education,"Harper & Row,",1973,0,https://libswu.on.worldcat.org/oclc/604993
700902,Principles of instructional design,"Gagne?, Robert M.; Briggs, Leslie J.,",371.3 Ga147P, Educational Psychology,"Holt, Rinehart and Winston",1974,0,https://libswu.on.worldcat.org/oclc/700902
704953,Communication in education:a rhetoric of schooling and learning,"Phillips, Gerald M.; Butt, David E.,Metzger, Nancy J.,",371.102 Ph558C  c.2, Educational Psychology,"Holt, Rinehart and Winston",1974,0,https://libswu.on.worldcat.org/oclc/704953
711866,Values and teaching: working with values in the classroom /,"Raths, Louis Edward.; Harmin, Merrill.Simon, Sidney B.",370.13 Ra235V, Theory & Practice of Education,"Charles E. Merrill Books,",1966,0,https://libswu.on.worldcat.org/oclc/711866
730831,"Learning theory, instructional theory, and psychoeducational design","Snelbecker, Glenn E.,",154 Sn671L, Educational Psychology,McGraw-Hill,1974,0,https://libswu.on.worldcat.org/oclc/730831
737024,Teaching reading:a phonic/linguistic approach to developmental reading,"Walcutt, Charles Child,; Lamport, Joan,McCracken, Glenn,",428.4307 Wa174T, Theory & Practice of Education,Macmillan,1974,0,https://libswu.on.worldcat.org/oclc/737024
737024,Teaching reading:a phonic/linguistic approach to developmental reading,"Walcutt, Charles Child,; Lamport, Joan,McCracken, Glenn,",428.4307 Wa174T  c.3, Theory & Practice of Education,Macmillan,1974,0,https://libswu.on.worldcat.org/oclc/737024
740911,Psychological concepts in the classroom,"Coop, Richard H.; White, Kinnard,",154 Co724P, Educational Psychology,Harper & Row,1974,0,https://libswu.on.worldcat.org/oclc/740911
760569,Learning and human abilities:educational psychology.,"Klausmeier, Herbert J.",154 Kl63L  c.4, Educational Psychology,Harper,1961,0,https://libswu.on.worldcat.org/oclc/760569
761447,"Maturity in reading;its nature and appraisal,","Gray, William S.; Rogers, Bernice,",428.07 Gr, Theory & Practice of Education,University of Chicago Press,1956,0,https://libswu.on.worldcat.org/oclc/761447
761447,"Maturity in reading;its nature and appraisal,","Gray, William S.; Rogers, Bernice,",428.07 Gr  c.2, Theory & Practice of Education,University of Chicago Press,1956,0,https://libswu.on.worldcat.org/oclc/761447
790151,The sociology of educational ideas.,"Evetts, Julia.",370.193 Ev93S  c.2, Educational Sociology,Routledge & K. Paul,1973,0,https://libswu.on.worldcat.org/oclc/790151
825150,Teachers and learners;the interactive process of education,"Gorman, Alfred H.",371.102 Go671T, Theory & Practice of Education,Allyn and Bacon,1974,0,https://libswu.on.worldcat.org/oclc/825150
953197,"The psychology of language, thought, and instruction :readings /","De Cecco, John P.,",407 De, Educational Psychology,"Holt, Rinehart and Winston",1967,0,https://libswu.on.worldcat.org/oclc/953197
1092982,Reading instruction :dimensions and issues /,"Durr, William Kirtley,",428.07 Du, Theory & Practice of Education,Houghton Mifflin,1967,0,https://libswu.on.worldcat.org/oclc/1092982
1156459,Marxist perspectives in the sociology of education /,"Levitas, Maurice.",370.193 Le666M  c.2, Educational Sociology,"Routledge & Kegan Paul,",1974,0,https://libswu.on.worldcat.org/oclc/1156459
1206042,Individualizing language instruction :strategies and methods /,"Disick, Rene?e S.",407 Di611I  c.2, Theory & Practice of Education,"Harcourt Brace Jovanovich,",1975,0,https://libswu.on.worldcat.org/oclc/1206042
1209980,The economics of recurrent education and training /,"Stoikov, Vladimir.",374 St873E, Economics of Education,"International Labour Office,",1975,0,https://libswu.on.worldcat.org/oclc/1209980
1347569,Problems of language and learning /,"Seminar on Language and Learning; Davies, Alan,; Social Science Research Council (Great Britain)Scottish Council for Research in Education.",407 Da255P, Theory & Practice of Education,"Heinemann Educational for the Social Science Research Council and the Scottish Council for Research in Education,",1975,0,https://libswu.on.worldcat.org/oclc/1347569
1429512,Sociometry in the classroom.,"Gronlund, Norman Edward,",301.01 Gr, Educational Sociology,Harper,1959,0,https://libswu.on.worldcat.org/oclc/1429512
1464507,Toward individualized learning :a developer's guide to self-instruction /,"Johnson, Rita B.; Johnson, Stuart R.",371.394 Jo68T, Theory & Practice of Education,"Addison-Wesley,",1975,0,https://libswu.on.worldcat.org/oclc/1464507
1464507,Toward individualized learning :a developer's guide to self-instruction /,"Johnson, Rita B.; Johnson, Stuart R.",371.394 Jo68T  c.3, Theory & Practice of Education,"Addison-Wesley,",1975,0,https://libswu.on.worldcat.org/oclc/1464507
1531931,The diagnostic/language development approach to individualized reading instruction /,"Rouch, Roger L.,; Birr, Shirley,",372.4147 Ro854D, Theory & Practice of Education,"Parker Pub. Co.,",1976,0,https://libswu.on.worldcat.org/oclc/1531931
1547542,Educational psychology;growth and learning.,"Jordan, Arthur Melville,",370.15 Jo82E, Educational Psychology,Holt,1956,0,https://libswu.on.worldcat.org/oclc/1547542
1582482,"The economics of nonformal education :resources, costs and benefits /","Ahmed, Manzoor,",338.4737 Ah286E, Special Aspects of Education,"Praeger,",1975,0,https://libswu.on.worldcat.org/oclc/1582482
1584139,Individualized instruction through differentiated learning programs /,"Stahl, Dona Kofod.",372.1394 St781I, Theory & Practice of Education,"Parker Pub. Co.,",1976,0,https://libswu.on.worldcat.org/oclc/1584139
1677454,Speech correction in the schools,"Eisenson, Jon,; Ogilvie, Mardel,",371.914 Ei36S, Theory & Practice of Education,Macmillan,1957,0,https://libswu.on.worldcat.org/oclc/1677454
1754770,Journal of reading.,International Reading Association.,37-428, Theory & Practice of Education,"International Reading Association,",1964,0,https://libswu.on.worldcat.org/oclc/1754770
1763481,Reading research quarterly.,International Reading Association.,37-429, Theory & Practice of Education,International Reading Association.,1965,0,https://libswu.on.worldcat.org/oclc/1763481
1949956,Educational psychology in the classroom.,"Lindgren, Henry Clay,",154 Li612E, Educational Psychology,Wiley,1956,0,https://libswu.on.worldcat.org/oclc/1949956
1958462,An introduction to theories of learning /,"Hergenhahn, B. R.,",154 He545I, Educational Psychology,"Prentice-Hall,",1976,0,https://libswu.on.worldcat.org/oclc/1958462
1975743,Teaching for thinking;theory and application,"Raths, Louis Edward.",371.3 Ra234T 1967  c.2, Educational Psychology,C.E. Merrill Books,1967,0,https://libswu.on.worldcat.org/oclc/1975743
2048219,Human characteristics and school learning /,"Bloom, Benjamin S.",154.4 Bl655H, Educational Psychology,"McGraw-Hill,",1976,0,https://libswu.on.worldcat.org/oclc/2048219
2185470,Teaching children to read /,"Smith, Richard John,; Johnson, Dale D.,",372.414 Sm657T, Theory & Practice of Education,"Addison-Wesley Pub. Co.,",1976,0,https://libswu.on.worldcat.org/oclc/2185470
2230426,A Systems approach to teaching and learning procedures :a guide for educators in developing countries.,Unesco.,371.3028 Sy995, Special Aspects of Education,"Unesco Press,",1975,0,https://libswu.on.worldcat.org/oclc/2230426
2230426,A Systems approach to teaching and learning procedures :a guide for educators in developing countries.,Unesco.,371.3 Sy995, Special Aspects of Education,"Unesco Press,",1975,0,https://libswu.on.worldcat.org/oclc/2230426
2417086,Education and development in the Third World /,"D'aeth, Richard,",370.193 Da123E, Special Aspects of Education,"Lexington Books,",1975,0,https://libswu.on.worldcat.org/oclc/2417086
2493432,A teacher's world :psychology in the classroom /,"Yelon, Stephen L.; Weinstein, Grace W.,",370.15 Ye43T, Educational Psychology,"McGraw-Hill,",1977,0,https://libswu.on.worldcat.org/oclc/2493432
2567743,Towards equality in education :the fight against discrimination /,"Juvigny, Pierre.",371.97 Ju, Educational Sociology,"Unesco,",1962,0,https://libswu.on.worldcat.org/oclc/2567743
2598091,Teaching concepts :an instructional design guide /,"Merrill, M. David,; Tennyson, Robert D.,",371.102 Me571T, Educational Psychology,"Educational Technology Publications,",1977,0,https://libswu.on.worldcat.org/oclc/2598091
2614296,Activities deskbook for teaching reading skills /,"Higley, Joan,",372.41 Hi638A, Theory & Practice of Education,"Parker Pub. Co.,",1977,0,https://libswu.on.worldcat.org/oclc/2614296
2614296,Activities deskbook for teaching reading skills /,"Higley, Joan,",428.07 Hi638A, Theory & Practice of Education,"Parker Pub. Co.,",1977,0,https://libswu.on.worldcat.org/oclc/2614296
2634323,Education and the employment problem in developing countries /,"Blaug, Mark.",331.137 Bl645E  c.2, Special Aspects of Education,"International Labour Office,",1974,0,https://libswu.on.worldcat.org/oclc/2634323
2654617,Interaction in the classroom /,"Delamont, Sara,",371.623 De336I, Educational Psychology,"Methuen,",1976,0,https://libswu.on.worldcat.org/oclc/2654617
2656783,The sociology of education:an introduction.,"Morrish, Ivor.",370.19 Mo737S, Educational Sociology,"Allen and Unwin,",1972,0,https://libswu.on.worldcat.org/oclc/2656783
2749437,Educational psychology:a developmental approach,"Sprinthall, Richard C.,; Sprinthall, Norman A.,",370.15 Sp769E  c.2, Educational Psychology,Addison-Wesley,1974,0,https://libswu.on.worldcat.org/oclc/2749437
2749437,Educational psychology:a developmental approach,"Sprinthall, Richard C.,; Sprinthall, Norman A.,",370.15 Sp769E  c.5, Educational Psychology,Addison-Wesley,1974,0,https://libswu.on.worldcat.org/oclc/2749437
2822040,Sexism :new issue in American education /,"Gough, Pauline.",370.19 Go68S, Educational Sociology,"Phi Delta Kappa Educational Foundation,",1976,0,https://libswu.on.worldcat.org/oclc/2822040
3489105,Career education in colleges :[a guide for planning two- and four-year occupational programs for successful employment] /,"Harris, Norman C.; Grede, John F.,",378.013 Ha315C, Special Aspects of Education,"Jossey-Bass,",1977,0,https://libswu.on.worldcat.org/oclc/3489105
3543157,Teaching reading vocabulary /,"Johnson, Dale D.; Pearson, P. David,",428.07 Jo362T, Theory & Practice of Education,"Holt, Rinehart and Winston,",1978,0,https://libswu.on.worldcat.org/oclc/3543157
3627937,Creative activities resource book for elementary school teachers /,"Turner, Thomas N.",372.6 Tu953C, Educational Psychology,"Reston Pub. Co.,",1978,0,https://libswu.on.worldcat.org/oclc/3627937
3967927,Essential learning about society :an investigation into learning for social competence /,"Piper, Kevin.",370.193 Pi665E, Educational Sociology,"Australian Council for Educational Research,",1977,0,https://libswu.on.worldcat.org/oclc/3967927
3990237,Reading for results /,"Flemming, Laraine E.",428 Fl581R 1978, Theory & Practice of Education,"Houghton Mifflin,",1978,0,https://libswu.on.worldcat.org/oclc/3990237
4591626,"Psychological foundations of education :an introduction to human motivation, development, and learning /","Bigge, Morris L.; Hunt, Maurice P.,",370.15 Bi592P 1980, Educational Psychology,"Harper & Row,",1980,0,https://libswu.on.worldcat.org/oclc/4591626
4832389,Teacher's treasury of classroom reading activities /,"Lass-Kayser, Mary Jo,",428.407 La346T, Theory & Practice of Education,"Parker Pub. Co.,",1979,0,https://libswu.on.worldcat.org/oclc/4832389
4932034,"Reading, from process to practice /","Chapman, L. John,Czerniewska, Pam.; Open University.",428.4 Re287(3), Theory & Practice of Education,"Routledge & Kegan Paul in association with the Open University Press,",1978,0,https://libswu.on.worldcat.org/oclc/4932034
5198506,A model of school effects /,"Boonruangrutana, Samrerng,",151.2 Sa192M, Theory & Practice of Education,N/A,1978,0,https://libswu.on.worldcat.org/oclc/5198506
5274016,The teaching of reading.,"Moyle, Donald.",428.4 Mo938T, Theory & Practice of Education,"Ward Lock Educational,",1976,0,https://libswu.on.worldcat.org/oclc/5274016
5315725,Higher education and national development :proceedings /,"World University Service International Conference on the Role of University Education in National Development; Fan, Yiu-kwan,; World University Service.",378.5 In61H, Special Aspects of Education,"World University Service,",1977,0,https://libswu.on.worldcat.org/oclc/5315725
5496125,Psychology for teachers and students /,"Worell, Judith,; Stilwell, William E.",371.102 Wo926P, Theory & Practice of Education,"McGraw-Hill,",1981,0,https://libswu.on.worldcat.org/oclc/5496125
5749955,Cultural components of reading :an examination of psycholinguistic processes in reading and implications for the bilingual classroom /,"Elias, G. C.; Ingram, David,",420.713019 El42C, Theory & Practice of Education,"Published by Singapore University Press for SEAMEO Regional Language Centre,",1977,0,https://libswu.on.worldcat.org/oclc/5749955
6029944,Research in sociology of education and socialization.,N/A,370.19 Re432, Educational Sociology,JAI Press.,1980,0,https://libswu.on.worldcat.org/oclc/6029944
6661882,Approaches to individualized education /,"Jeter, Jan.; Association for Supervision and Curriculum Development.",371.394 Ap652, Theory & Practice of Education,"Association for Supervision and Curriculum Development,",1980,0,https://libswu.on.worldcat.org/oclc/6661882
6853249,Best short stories :short stories for teaching literature and developing comprehension /,"Harris, Raymond.",808.301 Be561, Theory & Practice of Education,"Jamestown Pub.,",1980,0,https://libswu.on.worldcat.org/oclc/6853249
6933446,Economics of education review.,N/A,37-336, Economics of Education,"Ballinger Pub. Co.,Pergamon Press",1981,0,https://libswu.on.worldcat.org/oclc/6933446
7031607,Teaching with newspapers :the living curriculum /,"Rhoades, Lynn.; Rhoades, George,",371.32 Rh46T, Theory & Practice of Education,"Phi Delta Kappa Educational Foundation,",1980,0,https://libswu.on.worldcat.org/oclc/7031607
7574883,A concise history of education to 1900 A.D. /,"Gwynne-Thomas, E. H.",370.9 Gw995C, History of Education,"University Press of America,",1981,0,https://libswu.on.worldcat.org/oclc/7574883
