,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
142921,Effective teaching strategies with the Behavioral Outcomes Approach /,"Gerhard, Muriel,",371.3 Ge499E, Educational Psychology,"Parker Publishing Company, Inc.,",1971,0,https://libswu.on.worldcat.org/oclc/142921
181665,Reflective thinking:the method of education,"Hullfish, H. Gordon; Smith, Philip G.,",370.1 Hu913R 1961, Educational Psychology,"Dodd, Mead,",1961,0,https://libswu.on.worldcat.org/oclc/181665
181985,The psychology of learning /,"Garry, Ralph,",154 Ga36P  c.2, Educational Psychology,"Center for Applied Research in Education,",1963,0,https://libswu.on.worldcat.org/oclc/181985
182905,The psychology of learning in the classroom,"Craig, Robert C.",370.15 Cr886P, Educational Psychology,Macmillan,1966,0,https://libswu.on.worldcat.org/oclc/182905
183907,The psychology of meaningful verbal learning :an introduction to school learning /,"Ausubel, David Paul.",154.4 Au938P, Educational Psychology,Grune & Stratton,1963,0,https://libswu.on.worldcat.org/oclc/183907
235360,Current readings in educational psychology.,"Lindgren, Henry Clay,; Lindgren, Fredrica,",370.1508 Li745C, Educational Psychology,Wiley,1971,0,https://libswu.on.worldcat.org/oclc/235360
240811,"Discovery and experience:a new approach to training, group work and teaching.","Button, Leslie.",374.2 Bu989D, Educational Psychology,"Oxford University Press,",1971,0,https://libswu.on.worldcat.org/oclc/240811
279130,Writing worthwhile behavioral objectives,"Vargas, Julie S.",370.152 Va297W, Educational Psychology,Harper & Row,1972,0,https://libswu.on.worldcat.org/oclc/279130
293098,The learning game: strategies for secondary teachers,"Gorow, Frank F.",371.3 Go736L, Educational Psychology,C.E. Merrill Pub. Co.,1972,0,https://libswu.on.worldcat.org/oclc/293098
307204,Movement and creative drama for children.,"Lowndes, Betty.",372 Lo919M, Educational Psychology,"Plays, Inc.",1971,0,https://libswu.on.worldcat.org/oclc/307204
382431,Readings in educational psychology.,"Morse, William Charles,; Wingo, G. Max,",370.15 Mo886R, Educational Psychology,"Scott, Foresman",1962,0,https://libswu.on.worldcat.org/oclc/382431
418336,Concept learning; designs for instruction,"Martorella, Peter H.",370.15 Ma387C, Educational Psychology,Intext Educational Publishers,1972,0,https://libswu.on.worldcat.org/oclc/418336
700902,Principles of instructional design,"Gagné, Robert M.; Briggs, Leslie J.,",371.3 Ga147P, Educational Psychology,"Holt, Rinehart and Winston",1974,0,https://libswu.on.worldcat.org/oclc/700902
704953,Communication in education:a rhetoric of schooling and learning,"Phillips, Gerald M.; Butt, David E.,Metzger, Nancy J.,",371.102 Ph558C  c.2, Educational Psychology,"Holt, Rinehart and Winston",1974,0,https://libswu.on.worldcat.org/oclc/704953
730831,"Learning theory, instructional theory, and psychoeducational design","Snelbecker, Glenn E.,",154 Sn671L, Educational Psychology,McGraw-Hill,1974,0,https://libswu.on.worldcat.org/oclc/730831
740911,Psychological concepts in the classroom,"Coop, Richard H.; White, Kinnard,",154 Co724P, Educational Psychology,Harper & Row,1974,0,https://libswu.on.worldcat.org/oclc/740911
760569,Learning and human abilities:educational psychology.,"Klausmeier, Herbert J.",154 Kl63L  c.4, Educational Psychology,Harper,1961,0,https://libswu.on.worldcat.org/oclc/760569
953197,"The psychology of language, thought, and instruction :readings /","De Cecco, John P.,",407 De, Educational Psychology,"Holt, Rinehart and Winston",1967,0,https://libswu.on.worldcat.org/oclc/953197
1547542,Educational psychology;growth and learning.,"Jordan, Arthur Melville,",370.15 Jo82E, Educational Psychology,Holt,1956,0,https://libswu.on.worldcat.org/oclc/1547542
1949956,Educational psychology in the classroom.,"Lindgren, Henry Clay,",154 Li612E, Educational Psychology,Wiley,1956,0,https://libswu.on.worldcat.org/oclc/1949956
1958462,An introduction to theories of learning /,"Hergenhahn, B. R.,",154 He545I, Educational Psychology,"Prentice-Hall,",1976,0,https://libswu.on.worldcat.org/oclc/1958462
1975743,Teaching for thinking;theory and application,"Raths, Louis Edward.",371.3 Ra234T 1967  c.2, Educational Psychology,C.E. Merrill Books,1967,0,https://libswu.on.worldcat.org/oclc/1975743
2048219,Human characteristics and school learning /,"Bloom, Benjamin S.",154.4 Bl655H, Educational Psychology,"McGraw-Hill,",1976,0,https://libswu.on.worldcat.org/oclc/2048219
2493432,A teacher's world :psychology in the classroom /,"Yelon, Stephen L.; Weinstein, Grace W.,",370.15 Ye43T, Educational Psychology,"McGraw-Hill,",1977,0,https://libswu.on.worldcat.org/oclc/2493432
2598091,Teaching concepts :an instructional design guide /,"Merrill, M. David,; Tennyson, Robert D.,",371.102 Me571T, Educational Psychology,"Educational Technology Publications,",1977,0,https://libswu.on.worldcat.org/oclc/2598091
2654617,Interaction in the classroom /,"Delamont, Sara,",371.623 De336I, Educational Psychology,"Methuen,",1976,0,https://libswu.on.worldcat.org/oclc/2654617
2749437,Educational psychology:a developmental approach,"Sprinthall, Richard C.,; Sprinthall, Norman A.,",370.15 Sp769E  c.2, Educational Psychology,Addison-Wesley,1974,0,https://libswu.on.worldcat.org/oclc/2749437
2749437,Educational psychology:a developmental approach,"Sprinthall, Richard C.,; Sprinthall, Norman A.,",370.15 Sp769E  c.5, Educational Psychology,Addison-Wesley,1974,0,https://libswu.on.worldcat.org/oclc/2749437
3627937,Creative activities resource book for elementary school teachers /,"Turner, Thomas N.",372.6 Tu953C, Educational Psychology,"Reston Pub. Co.,",1978,0,https://libswu.on.worldcat.org/oclc/3627937
